字段,值,出现次数
专业,电气,5
专业,机械,4
专业,理工科,3
专业,电气类,3
专业,物流管理相关专业,3
专业,生产管理相关专业,3
专业,物流专业,3
专业,自动化,3
专业,机械工程,2
专业,电子工程,2
专业,质量管理,2
专业,安全工程,2
专业,环境工程,2
专业,机械类,2
专业,制冷,2
专业,热能与动力工程,2
专业,企业管理类,2
专业,模具设计与制造,1
专业,机械设计与制造,1
专业,金属材料与热处理,1
专业,热塑性流动成形学,1
专业,制冷类,1
专业,高分子材料,1
专业,理工科专业,1
专业,电气工程,1
专业,企业管理类专业,1
专业,采购,1
专业,物流,1
专业,供应链,1
专业,制冷机等理工科专业,1
专业,自动化相关专业,1
专业,高分子材料等相关专业,1
专业,机电工程类,1
专业,机电一体化,1
公司,海信容声（广东）冰箱有限公司,16
关键字,家居/家具/家电,8
关键字,生产领班,3
关键字,生产管理,3
关键字,机械工艺优化,2
关键字,装配工艺,2
关键字,家电,2
关键字,生产主管,2
关键字,生产班长,2
关键字,班组长,2
关键字,品质管理,1
关键字,质量保证,1
关键字,供应商管理,1
关键字,质量管理,1
关键字,供方认定,1
关键字,现场检验,1
关键字,来料检验,1
关键字,质量控制,1
关键字,现场质量,1
关键字,品质管控,1
关键字,质量整改,1
关键字,市场投诉,1
关键字,英语,1
关键字,消防,1
关键字,安全,1
关键字,安全工程,1
关键字,安全环保,1
关键字,安全管控,1
关键字,环保检查,1
关键字,考核结果,1
关键字,大学英语四级,1
关键字,环境工程,1
关键字,AutoCAD,1
关键字,挤出工艺,1
关键字,钣金模具,1
关键字,机械工艺验证,1
关键字,注塑工艺,1
关键字,总装工艺,1
关键字,电器,1
关键字,组装工艺,1
关键字,焊接工艺,1
关键字,熟悉各类机械工艺,1
关键字,熟悉各类化工工艺,1
关键字,熟悉各类电气工艺,1
关键字,机械,1
关键字,电气,1
关键字,制冷,1
关键字,工序优化,1
关键字,生产异常问题,1
关键字,工艺辅料,1
关键字,工程不良,1
关键字,工位器具,1
关键字,加工路线,1
关键字,生产干部,1
关键字,管理储备干部,1
关键字,生产管培生,1
关键字,班长,1
关键字,机械/设备/重工,1
关键字,生产班组长,1
关键字,管培生,1
关键字,生产组长,1
关键字,生产拉长,1
关键字,储备干部,1
关键字,货运/物流/仓储,1
关键字,物料管理,1
关键字,仓储管理,1
关键字,物资管理,1
关键字,仓储物流,1
关键字,物流优化,1
关键字,团队管理,1
关键字,保养,1
关键字,设备维护,1
关键字,班组管理,1
关键字,大修,1
关键字,机械电气,1
关键字,管理维修,1
关键字,备件台账,1
关键字,预防性检修,1
关键字,使用登记管理,1
关键字,调试,1
关键字,维护,1
关键字,plc,1
关键字,电气工程,1
关键字,维修电工,1
关键字,低压电工,1
关键字,高压电工,1
关键字,强电电工,1
关键字,弱电电工,1
关键字,机械设备维修经验,1
关键字,电气接线经验,1
关键字,电气装配经验,1
关键字,维修电工经验,1
关键字,熟悉电气原理,1
关键字,看懂电路图,1
关键字,生管,1
关键字,生产计划,1
关键字,生产,1
关键字,车间主任,1
关键字,采购助理,1
关键字,采购跟单,1
关键字,采购专员,1
发薪月数,12,121
发薪月数,13,10
地点,佛山,115
地点,佛山-顺德区,16
学历,不限,83
学历,初中,21
学历,本科,19
学历,大专,4
学历,高中,2
学历,中专,2
岗位标题,装配工,7
岗位标题,普工,3
岗位标题,精益物流工程师,2
岗位标题,设备专家,2
岗位标题,钣金工,2
岗位标题,品保部长,1
岗位标题,外销市场质量工程师,1
岗位标题,安全工程师（2026届）,1
岗位标题,模具工程师,1
岗位标题,现场工艺工程师,1
岗位标题,现场工艺工程师（2026届）,1
岗位标题,生产管理岗（班组长）,1
岗位标题,生产领班,1
岗位标题,精益工程师,1
岗位标题,维修组长,1
岗位标题,设备技术工程师(J43279),1
岗位标题,设备维修电工,1
岗位标题,车间班组长,1
岗位标题,采购业务,1
岗位标题,顺德容桂冰箱 / 临时工 - 打包装,1
岗位标题,工厂直招实习生 - 满18岁 · 包吃住,1
岗位标题,容桂海信某部门招聘普工,1
岗位标题,国企集团直招（官方直招）,1
岗位标题,海信招聘普工 50 名年龄 18 岁到 40岁,1
岗位标题,顺德容桂海信家电招生产员 / 18-45岁 / 包吃住,1
岗位标题,工厂直招实习生 · 满16岁 · 包吃住,1
岗位标题,采购专员,1
岗位标题,急招普工装配工组装/打包装/包装,1
岗位标题,5k 6k / 包吃住易上手 / 当天安排,1
岗位标题,顺德海信家电招聘短期工,1
岗位标题,海信冰箱招聘装配工 200元/天,1
岗位标题,整机性能测试员,1
岗位标题,海信直招：五险一金+周末双休+免费体检,1
岗位标题,普工/组装包装工,1
岗位标题,组装包装工,1
岗位标题,海信冰箱 装配包装工作简单,1
岗位标题,实习可盖章车间生产员 / 满 18 岁,1
岗位标题,车间质检员,1
岗位标题,注塑工、质检员、装配工,1
岗位标题,急招小时工 19元每时 / 厂直招 / 包,1
岗位标题,质检员现场检验,1
岗位标题,可安排实习 · 临时 / 长期工 - 5k · 6k,1
岗位标题,装配工，配送工,1
岗位标题,品质部长,1
岗位标题,海信招聘普工，入职缴纳社保,1
岗位标题,海信厨卫直招普工、周末双休、体检免费,1
岗位标题,生产工,1
岗位标题,国企 · 海信厨卫 / 每周双休 / 福利齐全,1
岗位标题,满 16 岁可做 / 贴标签 / 贴海绵 / 临时工 / 暑假工,1
岗位标题,顺德容桂电器厂：小时工19元,1
岗位标题,可带手机，可预支（满18岁）,1
岗位标题,新手装配工，包装工,1
岗位标题,海信冰箱招小时工，包吃包住，可预支生活费,1
岗位标题,容桂海信家电公司工厂直招,1
岗位标题,嵌入式高级软件开发工程师,1
岗位标题,包吃住 / 可预支 / 愿意做都可安排,1
岗位标题,〖 海信厨卫直招 〗 普工， 周末双,1
岗位标题,组装工， 打螺丝， 包吃住， 五险,1
岗位标题,海信家电招聘临时工工期30天,1
岗位标题,厨卫电器招聘正式工包住包体检,1
岗位标题,组装工 - 包装工,1
岗位标题,装配工 - 注塑工 - 质检员,1
岗位标题,注塑包装工,1
岗位标题,安全工程师（2026）,1
岗位标题,装配工艺工程师（2026届）,1
岗位标题,海信直招 周末双休 买社保,1
岗位标题,车间生产员,1
岗位标题,海信大量招聘生产普工,1
岗位标题,海信厨卫招普工， 周末双休， 免费体检,1
岗位标题,高薪诚聘电工,1
岗位标题,海信直招包吃住装配工 / 普工 / 打包装 6 · 7k,1
岗位标题,海信集团招车间生产员 / 接受实习生,1
岗位标题,海信冰箱冷柜招聘小时工 19 元,1
岗位标题,普工 / 操作工,1
岗位标题,海信冰箱冷柜招聘正式工包吃包住,1
岗位标题,普工 6k+,1
岗位标题,容桂国企海信直招18元/小时,1
岗位标题,双休 / 手工活 / 公寓宿舍,1
岗位标题,工厂直招 / 包吃住 / 可带手机,1
岗位标题,容桂大量招普工 19元/小时,1
岗位标题,自主实习生车间测试 / 组装包装岗包吃包住,1
岗位标题,直招实习生 + 包食宿 + 可带手机 +,1
岗位标题,设备维修工程师,1
岗位标题,顺德容桂海信容声冰箱 · 普工,1
岗位标题,实习生,1
岗位标题,海信大量招聘小时工，包吃住，可预支生活费,1
岗位标题,装配工/挂件工,1
岗位标题,招小时工，临时工，长期工，短期工,1
岗位标题,直招正式工 / 免费包吃住 / 新手可做,1
岗位标题,质检员现场检验员,1
岗位标题,小家电装配工,1
岗位标题,现场检验专员,1
岗位标题,海信大量招正式工入职购买五险,1
岗位标题,海信厨卫直招普工 / 周末单双休,1
岗位标题,招小时工 + 包吃住 + 可带手机,1
岗位标题,海信家电招聘临时工工期短30天,1
岗位标题,5-6K工厂直招普工满16岁可做/包吃住,1
岗位标题,学徒,1
岗位标题,容桂海信，直聘一线普工/操作工,1
岗位标题,海信集团内部招组装工，包吃住,1
岗位标题,海信集团内部直招，工资6000+,1
岗位标题,海信内部直招，直接到厂门口当天,1
岗位标题,海信大量招聘小时工，15+4/时,1
岗位标题,实习生可盖章 + 满 16 即可 + 可带手机,1
岗位标题,海信小时工 + 包吃住， 每周可预支,1
岗位标题,装配包装工,1
岗位标题,顺德电器厂男女不限 6000,1
岗位标题,海信电器厂招聘小时工 19 元,1
岗位标题,生产员,1
岗位标题,海信招聘正式工购买五险一金,1
岗位标题,顺德容桂海信直招生产普工 / 18-40,1
岗位标题,独立岗位点碰焊月薪6-7千,1
岗位标题,海信工厂直招 / 质检员 / 现场检验员 / 包吃包住,1
岗位标题,满16即可/可带手机,1
岗位标题,生产普工,1
岗位标题,海信大量招聘小时工包吃住,1
岗位标题,电子厂普工,1
岗位标题,海信大量招聘小时工 16 - 52 岁,1
岗位标题,海信集团直聘+五险一金+包吃住,1
岗位标题,海信小时工,1
岗位类型,一线生产/普工,59
岗位类型,临时工/小时工/实习生,39
岗位类型,质量/测试/检验,5
岗位类型,其他/标题不清,5
岗位类型,设备/维修,3
岗位类型,工艺/制程工程师,2
岗位类型,生产领班/组长,2
岗位类型,质量/品质经理,1
岗位类型,客户质量工程师,1
岗位类型,EHS安全工程师,1
岗位类型,模具工程师,1
岗位类型,生产主管,1
岗位类型,精装修工程师,1
岗位类型,物流专员/助理,1
岗位类型,机械维修/保养,1
岗位类型,机械设备经理/主管,1
岗位类型,设备主管,1
岗位类型,电工,1
岗位类型,采购员,1
岗位类型,物流/精益,1
岗位类型,采购/供应链,1
岗位类型,管理岗,1
岗位类型,工程技术岗,1
工作职责,贴标签,51
工作职责,打螺丝,35
工作职责,打包装,27
工作职责,组装,24
工作职责,装配,22
工作职责,包装,19
工作职责,放说明书,9
工作职责,看外观,8
工作职责,打包,7
工作职责,挂件,6
工作职责,钣金挂件,5
工作职责,冲压,4
工作职责,碰焊,4
工作职责,质检,4
工作职责,打磨,3
工作职责,贴海绵,3
工作职责,冰箱冷柜零部件组装装配,3
工作职责,冲片,3
工作职责,制定和执行品质管理策略，包括质量控制、质量保证和质量改进等,2
工作职责,监督和检查生产过程中的质量控制，确保产品质量稳定,2
工作职责,对质量问题进行调查和分析，找出问题根源，制定并实施改善措施,2
工作职责,组织和实施质量培训，提高员工的质量意识和技能,2
工作职责,负责处理客户的质量投诉，提高客户满意度,2
工作职责,负责生产过程控制管理，包括机型定编、工序优化，产品关键、特殊、质控点等的辨识，并制定控制方案、完善工艺指导文件，负责生产异常问题点处理，负责工程不良问题点的改善；,2
工作职责,负责本部装配外协外购件的确认，组织制造部做好装配外协外购件和新材料的试用与批量使用等。,2
工作职责,"组织生产并确保生产安全进行：1）负责编排组织组内的生产计划，抓好时段产，完成生产任务；2）跟踪时段停机的协调与分析,并及时反馈和开展改善，提高时段产效率；3）负责班组物料到位情况调整实际生产和调配模具；4）负责新工、复工、转岗人员的班组级安全、环保教育工作；5）协助车间主任做好安全、环保、消防管理工作，日常隐患、问题点的检查、实施纠正与预防措施；",2
工作职责,进行生产过程中的质量管理、物料管理以及人员管理。,2
工作职责,依据管理标准、操作流程展开仓储物流工作，通过运行不断修订及完善。,2
工作职责,统筹策划并开展物流优化等提效项目，使仓储整体工作效率得到提升。,2
工作职责,开展现场5S管理，对物资室管辖区域符合现场5S要求。,2
工作职责,将设备与工艺技术相结合，进行优化升级，并有效解决设备瓶颈问题，以满足产品的工艺需求,2
工作职责,培养本部门设备工程师，提高处理设备故障的能力,2
工作职责,配送,2
工作职责,负责贴标签,2
工作职责,包装说明书,2
工作职责,产品打包,2
工作职责,流水线协作,2
工作职责,打螺丝钉,2
工作职责,负责产品的包装工作,2
工作职责,完成生产过程中的半成品、成品检验工作，记录好检测数据，完成检验报表。,2
工作职责,性能检测产品是否漏电，功能是否正常，检验合格后方可出库。,2
工作职责,撕胶纸,2
工作职责,注塑披风,2
工作职责,组装打包装,2
工作职责,撕膜,2
工作职责,弯管,2
工作职责,负责品质管理体系的建立、实施和维护，确保产品质量符合国家标准和企业标准,1
工作职责,评估、选择和管理供应商，确保供应商的产品质量,1
工作职责,处理国内/海外市场投诉，召开审改会，撰写市场整改报告,1
工作职责,根据要求进行成立半散件整改计划，进行明确列举并实施相关的半散件质量改善项目及各项目的有效性检查，得出整改措施,1
工作职责,质量攻关改善，进行每个月收集并进行下游分析，进行汇总并评分发布,1
工作职责,每个月根据给项目组进行开展内部项目组会议并开展情况推进,1
工作职责,每个月准时完成并参与领导要求的各项紧急性工作要求并完成,1
工作职责,确定市场信息并收集进行分析并形成相应报告,1
工作职责,制定季度质量整改计划并进行开展跟踪等,1
工作职责,安全环保工作方案和相关安全环保制度文件，建立、健全公司职业安全健康和环境管理体系，并确保正常运行,1
工作职责,制定安全级安全教育并组织开展新员工的三级安全教育培训工作及对日常安全作业状态监督检查指导,1
工作职责,外来施工及生产现场安全管控、检查、提出整改意见及考核结果拟制,1
工作职责,日常安全、消防、环保检查、以及各级安全、消防、环保检查的开展以及检查问题的整改闭环的监督执行及日常考核结果拟制,1
工作职责,对开模或改模零部件图纸进行模具可制造性审查；负责非设计原因导致模具更改的立项申请（含改模说明）和报批,1
工作职责,参与模具招投标小组工作，主导模具技术方案的制定及模具的招标前技术答疑工作，并签订《模具技术协议》,1
工作职责,负责模具的三维实体图确认及与转研发中心设计人员沟通确认，负责模具图纸的管理,1
工作职责,负责模具制作、试模过程的技术服务、监督、质量跟踪；负责组织对模具结构设计的合理性进行确认,1
工作职责,负责组织确定模具调试、试制过程中所发现的模具本身问题的修改方案,1
工作职责,负责自制件备模、改模后的制件的重新封样、装配验证、确认工作，负责新产品模具和模具更改小批试制制件的结构审查,1
工作职责,参与各工厂模具供应商的管理及评定工作,1
工作职责,参与模具全流程验收，包含初验、终验及质保验收，并根据《模具验收标准》出具注塑模具、钣金模具及泡沫模具的初验收检查表,1
工作职责,优化现场装配工艺、优化加工路线、优化操作方法、优化工艺辅料、优化工艺定员。,1
工作职责,负责装配工位器具的归口管理工作，不断设计、改进、优化各种工位器具，改进加工工艺。,1
工作职责,优化现场装配工艺、优化加工路线、优化操作方法、优化工艺辅料、优化工艺定员；,1
工作职责,负责装配工位器具的归口管理工作，不断设计、改进、优化各种工位器具，改进加工工艺；,1
工作职责,设备管理：负责班组内部制定设备保养计划及组织实施，每天不定时检查跟踪设备、设施动态,1
工作职责,现场5S管理,1
工作职责,"负责车间的生产管理工作, 努力提高车间生产效率,增产高效,降低消耗,全面完成车间的各项方针目标和各项指标的实现。",1
工作职责,负责组织做好新产品试制、日常均衡生产的各项有关工作；,1
工作职责,"负责组织车间班组严格按照SAP系统管理要求,做好生产计划和物料领用的管理工作,实现均衡生产；",1
工作职责,"负责组织制订车间内部生产的各项规章制度,并组织实施；",1
工作职责,负责组织车间班组贯彻执行生产管理的有关规定及工作标准。,1
工作职责,通过对仓库日常工作的指导、监督、检查、考核，为生产现场提供合格物料，确保生产顺利进行。,1
工作职责,通过系统策划，严密组织，稳步推进，落实资材部物资管理的各项工作，使物资管理工作效率和工作质量得以显著提高。,1
工作职责,依据管理标准、操作流程展开仓储物流工作，通过运行不断修订及完善；,1
工作职责,统筹策划并开展物流优化等提效项目，使仓储整体工作效率得到提升；,1
工作职责,开展现场5S管理，对物资室管辖区域符合现场5S要求；,1
工作职责,通过对仓库日常工作的指导、监督、检查、考核，为生产现场提供合格物料，确保生产顺利进行；,1
工作职责,通过系统策划，严密组织，稳步推进，落实资材部物资管理的各项工作，使物资管理工作效率和工作质量得以显著提高；,1
工作职责,统筹车间设备日常巡检、保养及突发故障抢修，保障生产正常运行。,1
工作职责,管理维修班组，分配任务、组织交接与会议，跟进维修闭环。,1
工作职责,制定月度 / 季度 / 年度设备维护、大修及预防性检修计划。,1
工作职责,负责备件台账、使用登记管理，确保账实相符。,1
工作职责,分析设备故障，推进设备改善，降低停机与报废率。,1
工作职责,负责非标自动化设备开发，方案制定，包括公司内/外部供方的技术对接、设备方案设计、方案评审、设备上线验证、设备导入及验收等,1
工作职责,负责现有工厂设备研究，进行效率提升改造研究，根据产品线研发项目需求，满足生产需求，持续提升生产效率、降低生产成本,1
工作职责,根据产品线工艺规划，收集行业设备并定期组织评审，确保设备技术处于行业前沿,1
工作职责,具备较强的设备故障排查能力，协助设备工程师处理现场设备突发设备故障,1
工作职责,负责公司各类电气设备的日常维护、检修及故障排除，确保设备正常运行；,1
工作职责,参与设备安装、调试及技术改进工作，提升设备运行效率；,1
工作职责,编制和更新设备维护记录及技术文档，提供技术支持和解决方案；,1
工作职责,配合生产部门完成设备相关问题的快速响应与处理。,1
工作职责,设备管理：负责班组内部制定设备保养计划及组织实施，每天不定时检查跟踪设备、设施动态；,1
工作职责,现场5S管理；,1
工作职责,月度采购订单及每天送货计划的编制,1
工作职责,供应商物料到货跟进,1
工作职责,新品物料的维护与采购,1
工作职责,质量等异常问题协调处理,1
工作职责,负责按生产需求安排订单送货,1
工作职责,负责监控供应商的送货数量，对于超量送货给予及时处理,1
工作职责,负责积压物资的处理工作,1
工作职责,负责对供应商的供应情况进行月度评价,1
工作职责,负责供应资源的引入工作,1
工作职责,负责采购物料的成本控制,1
工作职责,负责采购物料月度定价,1
工作职责,负责供应商发票返纳跟进,1
工作职责,领导安排的其他临时性工作,1
工作职责,通过对仓库日常工作的辅导、监督、检查、考核，为生产现场提供合格物料，确保生产顺利进行。,1
工作职责,通过系统策划，严密组织，稳步地落实资材部门物资管理的各项工作，使物资管理工作效率和工作质量得以显著提升。,1
工作职责,折弯,1
工作职责,协助完成采购计划的制定与执行，确保物资及时到位,1
工作职责,供应商沟通与协调，维护良好的合作关系,1
工作职责,参与采购流程优化，提升采购效率与控制能力,1
工作职责,支持部门完成日常采购相关数据的整理与分析,1
工作职责,负责装配工作,1
工作职责,负责包装工作,1
工作职责,贴商标/条码,1
工作职责,零配件装配,1
工作职责,贴商品条码,1
工作职责,零件装配,1
工作职责,根据要求标准对样机进行测试，主要包括制冷性能、结构性能,1
工作职责,负责整机内实验室5S的维护和管理,1
工作职责,每日将实验进度报试验室主管并出具电子版试验结果和报告,1
工作职责,异常信息反馈和问题闭环检查,1
工作职责,试验设备日常维护点检,1
工作职责,每周和月试验情况汇总,1
工作职责,负责厨卫产品的工作,1
工作职责,装配挂件,1
工作职责,物料配送,1
工作职责,负责产品的组装工作,1
工作职责,对冰箱和冷柜产品进行组装和包装,1
工作职责,外观检验测试,1
工作职责,打螺钉,1
工作职责,布线,1
工作职责,对冰箱产品的零部件进行组装、贴标签、包装、放说明书、贴海绵、放泡沫、派物料等,1
工作职责,电子产品制程检验（IPQC）,1
工作职责,性能质检,1
工作职责,外观质检,1
工作职责,外观检查产品是否合格，是否有磕碰划痕、内胆变形等情况。,1
工作职责,负责生产家用厨卫电器配件,1
工作职责,负责品质管理体系的建立实施和维护，确保产品质量符合国家标准和企业要求,1
工作职责,评估、审核和管理供应商，确保供应商的产品质量,1
工作职责,从事冰箱组装、包装等工作,1
工作职责,注塑,1
工作职责,配料,1
工作职责,负责冰箱冷柜的装配工作,1
工作职责,装层架,1
工作职责,固定显示器,1
工作职责,装门贴铭,1
工作职责,撕胶带,1
工作职责,擦冰箱,1
工作职责,装配工,1
工作职责,负责酒柜、冷柜以及各类制冰机主控板的软件设计、开发与维护，确保系统稳定运行,1
工作职责,参与产品需求分析，完成软件模块的编码、测试及优化工作,1
工作职责,与硬件团队紧密合作，解决软硬件协同工作过程中的技术问题,1
工作职责,撰写相关技术文档，包括设计文档、测试报告等，确保知识共享与流程规范,1
工作职责,弯管贴标签,1
工作职责,负责产品的包装和组装工作,1
工作职责,负责物料管理,1
工作职责,包装贴标签,1
工作职责,削披风,1
工作职责,制定安全环保工作方案和相关安全环保制度文件，建立、健全公司职业安全健康和环境管理体系，并确保正常运行。,1
工作职责,制定安全教育培训计划并组织开展新员工的三级安全教育培训工作及对日常安全作业状态监督检查指导。,1
工作职责,外来施工及生产现场安全管控、检查、提出整改意见及考核结果拟制。,1
工作职责,日常安全、消防、环保检查，以及各级安全、消防、环保检查的开展以及检查问题的整改闭环的监督执行及日常考核结果拟制。,1
工作职责,负责生产过程控制，包括机型定编、工序优化，产品关键、特殊、质控点等的辨识，并制定控制方案工艺指导文件，负责生产异常问题点处理，负责工程不良问题点的改善,1
工作职责,优化现场装配工艺、优化加工路线、优化焊接方法、优化工艺辅料、优化工艺定员,1
工作职责,负责装配工位器具的归口管理工作，不断设计、改进、优化各种工位器具，改进加工工艺,1
工作职责,负责本部装配外协外购件的确认，组织制造部做好装配外协外购件和新材料的试用与批量使用等,1
工作职责,塑胶,1
工作职责,配货员,1
工作职责,冰箱冷柜组装,1
工作职责,负责厨卫电器配件的装配工作,1
工作职责,负责配件的挂件工作,1
工作职责,负责工厂设备维修及调试等工作，熟练工厂设备电气线路故障排除。,1
工作职责,熟练操作三菱变频器的参数设置和控制接线；熟悉三菱、西门子PLC接线及故障排除。,1
工作职责,负责非标自动化设备开发，方案制定，包括公司内外部供方的技术对接、设备方案设计、方案评审、设备上验证、设备导入及验收等,1
工作职责,负责现有工厂设备研究，进行效率提升改造研究，根据产品线研发需求，满足生产需求持续提升生产效率、降低生产成本,1
工作职责,根据产品线工艺规划收集行业设备并定期组织评审，确保设备技术处于行业前沿,1
工作职责,具备较强的设备故障排查能力，协助设备工程师处理现场设备突发故障,1
工作职责,电子元件组装,1
工作职责,负责冰箱冷柜等家电产品的装配工作,1
工作职责,负责贴标签等工作,1
工作职责,服从上级安排,1
工作职责,做装配,1
工作职责,封箱,1
工作职责,岗位轻松，操作简单容易上手，一看就会,1
工作职责,按照生产流程完成产品装配、拼接、调试等基础工作,1
工作职责,负责成品检验、分类、包装、装配、贴标签,1
工作职责,维护岗位卫生，配合班组长完成每日生产任务,1
工作职责,遵守车间规章制度，保证产品质量与生产安全,1
工作职责,组装工,1
工作职责,质检员,1
工作职责,注塑工,1
工作职责,冲压工,1
工作职责,操作工,1
工作职责,QC,1
工作职责,负责总装线设备管理，包括设备保养检修、大修、维修等工作，对所管辖车间的设备停机率及单台报废指标负责,1
工作职责,组织车间开展预防性维修和群众性设备质量管理活动，将故障消灭在萌芽状态，满足生产要求,1
工作职责,负责大修及技改项目推进,1
工作职责,负责新旧设备机构、电气图纸整理复原，建立每台设备档案资料,1
工作职责,负责对维修组员工进行专项技能培训,1
工作职责,负责对同行业设备进行调查分析，设备先进技术汇报推广,1
工作职责,负责设备改进提效,1
工作职责,负责现场设备TPM推进,1
工作职责,小件,1
工作职责,主要生产家用厨卫电器配件,1
工作职责,负责装配、挂件,1
工作职责,负责包装岗位作业（坐班/站班随机分配）,1
工作职责,按照生产流程完成产品装配包装等基础工作,1
工作职责,负责产线固定工位日常作业，确保工作规范,1
工作职责,配合完成生产任务，按时保质完成各项工作安排,1
工作职责,保持工作区域整洁，遵守安全生产规定,1
工作职责,外观检查产品是否合格，是否有磕碰划伤，内胆变形等情况。,1
工作职责,负责小家电产品的组装，装配,1
工作职责,负责产品的装配、挂件、贴标签、打包装,1
工作职责,生产冰箱冷柜零部件,1
工作职责,组装零件,1
工作职责,从事组装、包装等工作,1
工作职责,负责产品组装,1
工作职责,零部件装配,1
工作职责,成品打包,1
工作职责,流水线辅助操作,1
工作职责,手工活,1
工作职责,钣金冲压,1
工作职责,注塑披锋,1
工作职责,负责产品装配工作,1
工作职责,负责产品包装,1
工作职责,放置说明书,1
工作职责,负责公司冰箱冷柜产品的装配工作,1
工作职责,放说明书贴标签,1
工作职责,负责厨卫产品点碰焊的工作,1
工作职责,点碰焊,1
工作职责,负责冰箱冷柜的生产流水线工作,1
工作职责,主要从事冰箱零件组装，包装，发泡，质检等职位,1
工作职责,冰箱零件组装包装,1
工作职责,生产家电冰箱、厨卫电器,1
工作职责,两班倒，半个月转一次班,1
来源,boss,115
来源,51job,16
硬技能,Office办公软件,3
硬技能,5S,3
硬技能,ERP,3
硬技能,PLC编程,3
硬技能,质量管理体系,2
硬技能,办公软件,2
硬技能,QC七工具,2
硬技能,设备维修,2
硬技能,强弱电专业知识,2
硬技能,三菱变频器参数设置和控制接线,2
硬技能,三菱、西门子PLC接线及故障排除,2
硬技能,英语听说读写能力,1
硬技能,三维绘图软件,1
硬技能,二维绘图软件,1
硬技能,公文写作,1
硬技能,生产管理,1
硬技能,物流管理,1
硬技能,物料管理,1
硬技能,会计知识,1
硬技能,管理心理学,1
硬技能,机械电气知识,1
硬技能,单片机应用,1
硬技能,电路控制,1
硬技能,电气控制系统,1
硬技能,故障诊断,1
硬技能,看懂电路图和图纸,1
硬技能,QC七大工具,1
硬技能,ISO9001,1
硬技能,ISO14001,1
硬技能,C语言,1
硬技能,嵌入式开发,1
硬技能,STM32,1
硬技能,瑞萨,1
硬技能,中颖,1
硬技能,ARM,1
硬技能,I2C,1
硬技能,SPI,1
硬技能,ADC,1
硬技能,DAC,1
硬技能,FLASH,1
硬技能,能看懂电路和图纸,1
硬技能,单片机应用电路控制,1
硬技能,西门子S7-300,1
硬技能,西门子S7-200,1
硬技能,三菱系列PLC,1
硬技能,三菱变频器,1
硬技能,台达变频器,1
硬技能,PLC编程及监控,1
硬技能,外围电路维修,1
硬技能,电脑基本操作,1
硬技能,点碰焊,1
硬条件·学历,初中,21
硬条件·学历,本科,17
硬条件·学历,大专,3
硬条件·学历,中专,1
硬条件·技能,Office办公软件,3
硬条件·技能,5S,3
硬条件·技能,ERP,3
硬条件·技能,PLC编程,3
硬条件·技能,ISO9001,2
硬条件·技能,ISO14001,2
硬条件·技能,质量管理体系,2
硬条件·技能,办公软件,2
硬条件·技能,QC七工具,2
硬条件·技能,设备维修,2
硬条件·技能,强弱电专业知识,2
硬条件·技能,三菱变频器参数设置和控制接线,2
硬条件·技能,三菱、西门子PLC接线及故障排除,2
硬条件·技能,英语听说读写能力,1
硬条件·技能,大学英语四级,1
硬条件·技能,三维绘图软件,1
硬条件·技能,二维绘图软件,1
硬条件·技能,公文写作,1
硬条件·技能,生产管理,1
硬条件·技能,物流管理,1
硬条件·技能,物料管理,1
硬条件·技能,会计知识,1
硬条件·技能,管理心理学,1
硬条件·技能,机械电气知识,1
硬条件·技能,单片机应用,1
硬条件·技能,电路控制,1
硬条件·技能,电气控制系统,1
硬条件·技能,故障诊断,1
硬条件·技能,电工证,1
硬条件·技能,看懂电路图和图纸,1
硬条件·技能,QC七大工具,1
硬条件·技能,六西格玛证,1
硬条件·技能,ISO9001内审员,1
硬条件·技能,C语言,1
硬条件·技能,嵌入式开发,1
硬条件·技能,STM32,1
硬条件·技能,瑞萨,1
硬条件·技能,中颖,1
硬条件·技能,ARM,1
硬条件·技能,I2C,1
硬条件·技能,SPI,1
硬条件·技能,ADC,1
硬条件·技能,DAC,1
硬条件·技能,FLASH,1
硬条件·技能,低压电工上岗证,1
硬条件·技能,能看懂电路和图纸,1
硬条件·技能,单片机应用电路控制,1
硬条件·技能,西门子S7-300,1
硬条件·技能,西门子S7-200,1
硬条件·技能,三菱系列PLC,1
