职位名称,公司名称,工作地点,薪资,经验要求,学历要求,语言要求,职能类别,福利,工作职责,任职资格,关键字,工作地址,公司简介,来源链接
品保部长,海信容声（广东）冰箱有限公司,佛山-顺德区,2.5-3.5万·13薪,5年及以上,本科,,质量/品质经理,五险一金、专业培训、定期体检、带薪年假、节日福利、培训,"1、负责品质管理体系的建立、实施和维护，确保产品质量符合国家标准和企业标准；
2、制定和执行品质管理策略，包括质量控制、质量保证和质量改进等；
3、监督和检查生产过程中的质量控制，确保产品质量稳定；
4、评估、选择和管理供应商，确保供应商的产品质量；
5、对质量问题进行调查和分析，找出问题根源，制定并实施改善措施；
6、组织和实施质量培训，提高员工的质量意识和技能；
7、负责处理客户的质量投诉，提高客户满意度；","1、大学本科及以上学历，机械工程、电子工程、质量管理等相关专业；
2、5年以上家电制造业品质管理工作经验，有管理经验者优先；
3、熟悉ISO9001、ISO14001等质量管理体系；
4、具有良好的问题分析和解决能力，能够处理复杂的质量问题；
5、具有良好的沟通和协调能力，能够与各部门和供应商有效合作；
6、具有良好的领导能力，能够带领团队实现目标；",家居/家具/家电、品质管理、质量保证、供应商管理、质量管理、供方认定、现场检验、来料检验、质量控制、现场质量、品质管控,广东省佛山顺德区容港路八号,"海信容声（广东）冰箱有限公司前身为广东珠江冰箱厂，创立于 1984 年，同年开始用容声牌生产电冰箱，是中国***生产冰箱的企业之一。2001 年，容声冰箱入选首批“中国名牌产品”。
2005年，海信成为公司大股东后，整体实力进一步增强，成为拥有海信、容声两个“中国知名品牌”的冰箱企业，生产的海信冰箱、容声冰箱的市场占有率在国内市场名列前茅。容声牌冰箱更是连续11年获得国内冰箱销量桂冠。
海信容声（广东）冰箱有限公司拥有员工逾 2000 人，四条先进冰箱生产线，设有一流的生产、检测设备，拥有年产大小冰箱逾 300 万台的能力。生产的海信牌、容声牌冰箱以外观靓丽、性能高效、节能环保等优点在广大顾客心中享有很高的知名度和美誉度。产品远销欧美、非洲、东南亚等多个国家和地区，满足国内国际市场各种用户的需求。
海信容声(广东)冰箱有限公司秉承海信集团“高科技、高质量、高水平服务、创国际名牌”的发展战略，坚持贯彻“质量零缺陷”的方针，以贯彻 ISO9000 系列标准为手段，不断完善公司质量管理体系，持续改进和提高产品质量，以“零缺陷”工作质量保“零缺陷”产品质量，逐步实现用户完全满意。
公司目标是在未来 3-5 年产销量要进入国内品牌头部、全球两强的位置。在技术水平、产品档次、市场规模、盈利能力，包括企业持续发展能力在内的综合实力上，成为国内冰箱品牌引领者。
公司位于四季如春，景色怡人的广东省佛山市顺德区，欢迎您的加盟！",https://jobs.51job.com/foshan-sdq/173241816.html?s=gsxq_zwlb_gsxqlb&t=0_0
外销市场质量工程师,海信容声（广东）冰箱有限公司,佛山-顺德区,1.2-1.5万·13薪,4年及以上,本科,英语简单沟通/读写,客户质量工程师,,"1、处理国内/海外市场投诉，召开审改会，撰写市场整改报告；
2、根据要求进行成立半散件整改计划，进行明确列举并实施相关的半散件质量改善项目及各项目的有效性检查，得出整改措施；
3、质量攻关改善，进行每个月收集并进行下游分析，进行汇总并评分发布；
4、每个月根据给项目组进行开展内部项目组会议并开展情况推进；
5、每个月准时完成并参与领导要求的各项紧急性工作要求并完成；
6、确定市场信息并收集进行分析并形成相应报告；
7、制定季度质量整改计划并进行开展跟踪等。","1、本科及以上学历，理工科优先，4年以家电行业市场质量工作经验；
2、严谨、进取心、开拓意识、责任心、服务意识、协作精神、敬业、忠诚等；
3、海外市场质量方向需要有良好的英语听说读写能力。",家居/家具/家电、质量整改、市场投诉,广东省佛山顺德区容港路八号,"海信容声（广东）冰箱有限公司前身为广东珠江冰箱厂，创立于 1984 年，同年开始用容声牌生产电冰箱，是中国***生产冰箱的企业之一。2001 年，容声冰箱入选首批“中国名牌产品”。
2005年，海信成为公司大股东后，整体实力进一步增强，成为拥有海信、容声两个“中国知名品牌”的冰箱企业，生产的海信冰箱、容声冰箱的市场占有率在国内市场名列前茅。容声牌冰箱更是连续11年获得国内冰箱销量桂冠。
海信容声（广东）冰箱有限公司拥有员工逾 2000 人，四条先进冰箱生产线，设有一流的生产、检测设备，拥有年产大小冰箱逾 300 万台的能力。生产的海信牌、容声牌冰箱以外观靓丽、性能高效、节能环保等优点在广大顾客心中享有很高的知名度和美誉度。产品远销欧美、非洲、东南亚等多个国家和地区，满足国内国际市场各种用户的需求。
海信容声(广东)冰箱有限公司秉承海信集团“高科技、高质量、高水平服务、创国际名牌”的发展战略，坚持贯彻“质量零缺陷”的方针，以贯彻 ISO9000 系列标准为手段，不断完善公司质量管理体系，持续改进和提高产品质量，以“零缺陷”工作质量保“零缺陷”产品质量，逐步实现用户完全满意。
公司目标是在未来 3-5 年产销量要进入国内品牌头部、全球两强的位置。在技术水平、产品档次、市场规模、盈利能力，包括企业持续发展能力在内的综合实力上，成为国内冰箱品牌引领者。
公司位于四季如春，景色怡人的广东省佛山市顺德区，欢迎您的加盟！",https://jobs.51job.com/foshan-sdq/172231081.html?s=gsxq_zwlb_gsxqlb&t=0_0
安全工程师（2026届）,海信容声（广东）冰箱有限公司,佛山-顺德区,9千-1.1万·13薪,在校生/应届生,本科,英语良好,EHS安全工程师,定期体检、年终奖金、五险一金,"1、安全环保工作方案和相关安全环保制度文件，建立、健全公司职业安全健康和环境管理体系，并确保正常运行；
2、制定安全级安全教育并组织开展新员工的三级安全教育培训工作及对日常安全作业状态监督检查指导；
3、外来施工及生产现场安全管控、检查、提出整改意见及考核结果拟制；
4、日常安全、消防、环保检查、以及各级安全、消防、环保检查的开展以及检查问题的整改闭环的监督执行及日常考核结果拟制。","1.院校：国内普通高等院校（2026年毕业）或教育部承认的海外高等院校（2024年或2026年毕业）；
2.学历：本科及以上；
3.专业：安全工程、环境工程等相关专业；
4.技能要求：熟悉office办公软件；
5.素质要求：工作认真细致，责任心强，具有良好的团队精神和沟通协作能力以及抗压能力；
6.英语水平：大学英语四级及以上。",英语、消防、安全、安全工程、安全环保、安全管控、环保检查、考核结果、大学英语四级、环境工程,广东省佛山顺德区容港路八号,"海信容声（广东）冰箱有限公司前身为广东珠江冰箱厂，创立于 1984 年，同年开始用容声牌生产电冰箱，是中国***生产冰箱的企业之一。2001 年，容声冰箱入选首批“中国名牌产品”。
2005年，海信成为公司大股东后，整体实力进一步增强，成为拥有海信、容声两个“中国知名品牌”的冰箱企业，生产的海信冰箱、容声冰箱的市场占有率在国内市场名列前茅。容声牌冰箱更是连续11年获得国内冰箱销量桂冠。
海信容声（广东）冰箱有限公司拥有员工逾 2000 人，四条先进冰箱生产线，设有一流的生产、检测设备，拥有年产大小冰箱逾 300 万台的能力。生产的海信牌、容声牌冰箱以外观靓丽、性能高效、节能环保等优点在广大顾客心中享有很高的知名度和美誉度。产品远销欧美、非洲、东南亚等多个国家和地区，满足国内国际市场各种用户的需求。
海信容声(广东)冰箱有限公司秉承海信集团“高科技、高质量、高水平服务、创国际名牌”的发展战略，坚持贯彻“质量零缺陷”的方针，以贯彻 ISO9000 系列标准为手段，不断完善公司质量管理体系，持续改进和提高产品质量，以“零缺陷”工作质量保“零缺陷”产品质量，逐步实现用户完全满意。
公司目标是在未来 3-5 年产销量要进入国内品牌头部、全球两强的位置。在技术水平、产品档次、市场规模、盈利能力，包括企业持续发展能力在内的综合实力上，成为国内冰箱品牌引领者。
公司位于四季如春，景色怡人的广东省佛山市顺德区，欢迎您的加盟！",https://jobs.51job.com/foshan-sdq/171857453.html?s=gsxq_zwlb_gsxqlb&t=0_0
模具工程师,海信容声（广东）冰箱有限公司,佛山-顺德区,1.5-2万,4-6年,本科,,模具工程师,绩效奖金、年终奖金、五险一金、定期体检,"1、对开模或改模零部件图纸进行模具可制造性审查；负责非设计原因导致模具更改的立项申请（含改模说明）和报批；
2、参与模具招投标小组工作，主导模具技术方案的制定及模具的招标前技术答疑工作，并签订《模具技术协议》；
3、负责模具的三维实体图确认及与转研发中心设计人员沟通确认，负责模具图纸的管理；
4、负责模具制作、试模过程的技术服务、监督、质量跟踪；负责组织对模具结构设计的合理性进行确认；
5、负责组织确定模具调试、试制过程中所发现的模具本身问题的修改方案；
6、负责自制件备模、改模后的制件的重新封样、装配验证、确认工作，负责新产品模具和模具更改小批试制制件的结构审查；
7、参与各工厂模具供应商的管理及评定工作；
8、参与模具全流程验收，包含初验、终验及质保验收，并根据《模具验收标准》出具注塑模具、钣金模具及泡沫模具的初验收检查表。","1、学历要求：本科或以上；
2、专业要求：模具设计与制造、机械设计与制造、金属材料与热处理、热塑性流动成形学等；
3、工作经验：有4年以上的工作经验，有家电行业经验优先考虑；
4、技能要求：熟练使用三维绘图软件、二维绘图软件。",AutoCAD、挤出工艺、钣金模具,广东省佛山顺德区容港路八号,"海信容声（广东）冰箱有限公司前身为广东珠江冰箱厂，创立于 1984 年，同年开始用容声牌生产电冰箱，是中国***生产冰箱的企业之一。2001 年，容声冰箱入选首批“中国名牌产品”。
2005年，海信成为公司大股东后，整体实力进一步增强，成为拥有海信、容声两个“中国知名品牌”的冰箱企业，生产的海信冰箱、容声冰箱的市场占有率在国内市场名列前茅。容声牌冰箱更是连续11年获得国内冰箱销量桂冠。
海信容声（广东）冰箱有限公司拥有员工逾 2000 人，四条先进冰箱生产线，设有一流的生产、检测设备，拥有年产大小冰箱逾 300 万台的能力。生产的海信牌、容声牌冰箱以外观靓丽、性能高效、节能环保等优点在广大顾客心中享有很高的知名度和美誉度。产品远销欧美、非洲、东南亚等多个国家和地区，满足国内国际市场各种用户的需求。
海信容声(广东)冰箱有限公司秉承海信集团“高科技、高质量、高水平服务、创国际名牌”的发展战略，坚持贯彻“质量零缺陷”的方针，以贯彻 ISO9000 系列标准为手段，不断完善公司质量管理体系，持续改进和提高产品质量，以“零缺陷”工作质量保“零缺陷”产品质量，逐步实现用户完全满意。
公司目标是在未来 3-5 年产销量要进入国内品牌头部、全球两强的位置。在技术水平、产品档次、市场规模、盈利能力，包括企业持续发展能力在内的综合实力上，成为国内冰箱品牌引领者。
公司位于四季如春，景色怡人的广东省佛山市顺德区，欢迎您的加盟！",https://jobs.51job.com/foshan-sdq/144642893.html?s=gsxq_zwlb_gsxqlb&t=0_0
现场工艺工程师,海信容声（广东）冰箱有限公司,佛山-顺德区,1-1.8万·13薪,3-4年,本科,,工艺/制程工程师,年终奖金、五险一金、定期体检,"1．负责生产过程控制管理，包括机型定编、工序优化，产品关键、特殊、质控点等的辨识，并制定控制方案、完善工艺指导文件，负责生产异常问题点处理，负责工程不良问题点的改善；
2．优化现场装配工艺、优化加工路线、优化操作方法、优化工艺辅料、优化工艺定员。
3．负责装配工位器具的归口管理工作，不断设计、改进、优化各种工位器具，改进加工工艺。
4．负责本部装配外协外购件的确认，组织制造部做好装配外协外购件和新材料的试用与批量使用等。","1、学历要求：本科学历及以上；
2、专业要求：机械类、电气类、制冷类等理工科专业优先考虑；
3、工作经验：4年以上相关工作经验，有家电行业工艺经验优先考虑；
4、能力要求：
1）能吃苦耐劳，踏实肯干，抗压能力较强；
2）沟通协调能力较强；
3）思维敏捷,条理清晰；
4）积极进取、高度责任感、团队合作精神。",机械工艺优化、装配工艺、家居/家具/家电,广东省佛山顺德区容港路八号,"海信容声（广东）冰箱有限公司前身为广东珠江冰箱厂，创立于 1984 年，同年开始用容声牌生产电冰箱，是中国***生产冰箱的企业之一。2001 年，容声冰箱入选首批“中国名牌产品”。
2005年，海信成为公司大股东后，整体实力进一步增强，成为拥有海信、容声两个“中国知名品牌”的冰箱企业，生产的海信冰箱、容声冰箱的市场占有率在国内市场名列前茅。容声牌冰箱更是连续11年获得国内冰箱销量桂冠。
海信容声（广东）冰箱有限公司拥有员工逾 2000 人，四条先进冰箱生产线，设有一流的生产、检测设备，拥有年产大小冰箱逾 300 万台的能力。生产的海信牌、容声牌冰箱以外观靓丽、性能高效、节能环保等优点在广大顾客心中享有很高的知名度和美誉度。产品远销欧美、非洲、东南亚等多个国家和地区，满足国内国际市场各种用户的需求。
海信容声(广东)冰箱有限公司秉承海信集团“高科技、高质量、高水平服务、创国际名牌”的发展战略，坚持贯彻“质量零缺陷”的方针，以贯彻 ISO9000 系列标准为手段，不断完善公司质量管理体系，持续改进和提高产品质量，以“零缺陷”工作质量保“零缺陷”产品质量，逐步实现用户完全满意。
公司目标是在未来 3-5 年产销量要进入国内品牌头部、全球两强的位置。在技术水平、产品档次、市场规模、盈利能力，包括企业持续发展能力在内的综合实力上，成为国内冰箱品牌引领者。
公司位于四季如春，景色怡人的广东省佛山市顺德区，欢迎您的加盟！",https://jobs.51job.com/foshan-sdq/137232217.html?s=gsxq_zwlb_gsxqlb&t=0_0
现场工艺工程师（2026届）,海信容声（广东）冰箱有限公司,佛山-顺德区,9千-1.1万·13薪,在校生/应届生,本科,英语良好,工艺/制程工程师,定期体检、年终奖金、五险一金,"1、负责生产过程控制管理，包括机型定编、工序优化，产品关键、特殊、质控点等的辨识，并制定控制方案、完善工艺指导文件，负责生产异常问题点处理，负责工程不良问题点的改善；
2、优化现场装配工艺、优化加工路线、优化操作方法、优化工艺辅料、优化工艺定员；
3、负责装配工位器具的归口管理工作，不断设计、改进、优化各种工位器具，改进加工工艺；
4、负责本部装配外协外购件的确认，组织制造部做好装配外协外购件和新材料的试用与批量使用等。","1.院校：国内普通高等院校（2026年毕业）
2.学历：本科及以上；
3.专业：机械、电气、制冷、热能与动力工程、高分子材料等相关专业；
4.技能要求：熟悉office办公软件；
5.素质要求：工作严谨、细致、责任心强，具有创新和团队协作精神，抗压能力较强；",机械工艺验证、机械工艺优化、注塑工艺、总装工艺、电器、装配工艺、组装工艺、焊接工艺、熟悉各类机械工艺、熟悉各类化工工艺、熟悉各类电气工艺、家居/家具/家电、机械、电气、制冷、工序优化、生产异常问题、工艺辅料、工程不良、工位器具、加工路线,广东省佛山顺德区容港路八号,"海信容声（广东）冰箱有限公司前身为广东珠江冰箱厂，创立于 1984 年，同年开始用容声牌生产电冰箱，是中国***生产冰箱的企业之一。2001 年，容声冰箱入选首批“中国名牌产品”。
2005年，海信成为公司大股东后，整体实力进一步增强，成为拥有海信、容声两个“中国知名品牌”的冰箱企业，生产的海信冰箱、容声冰箱的市场占有率在国内市场名列前茅。容声牌冰箱更是连续11年获得国内冰箱销量桂冠。
海信容声（广东）冰箱有限公司拥有员工逾 2000 人，四条先进冰箱生产线，设有一流的生产、检测设备，拥有年产大小冰箱逾 300 万台的能力。生产的海信牌、容声牌冰箱以外观靓丽、性能高效、节能环保等优点在广大顾客心中享有很高的知名度和美誉度。产品远销欧美、非洲、东南亚等多个国家和地区，满足国内国际市场各种用户的需求。
海信容声(广东)冰箱有限公司秉承海信集团“高科技、高质量、高水平服务、创国际名牌”的发展战略，坚持贯彻“质量零缺陷”的方针，以贯彻 ISO9000 系列标准为手段，不断完善公司质量管理体系，持续改进和提高产品质量，以“零缺陷”工作质量保“零缺陷”产品质量，逐步实现用户完全满意。
公司目标是在未来 3-5 年产销量要进入国内品牌头部、全球两强的位置。在技术水平、产品档次、市场规模、盈利能力，包括企业持续发展能力在内的综合实力上，成为国内冰箱品牌引领者。
公司位于四季如春，景色怡人的广东省佛山市顺德区，欢迎您的加盟！",https://jobs.51job.com/foshan-sdq/167893635.html?s=gsxq_zwlb_gsxqlb&t=0_0
生产管理岗（班组长）,海信容声（广东）冰箱有限公司,佛山-顺德区,9千-1.2万,1年及以上,本科,,生产领班/组长,五险一金、绩效奖金、节日福利、餐饮补贴、定期体检,"1、组织生产并确保生产安全进行：
1）负责编排组织组内的生产计划，抓好时段产，完成生产任务；
2）跟踪时段停机的协调与分析,并及时反馈和开展改善，提高时段产效率；
3）负责班组物料到位情况调整实际生产和调配模具；
4）负责新工、复工、转岗人员的班组级安全、环保教育工作；
5）协助车间主任做好安全、环保、消防管理工作，日常隐患、问题点的检查、实施纠正与预防措施；
2、设备管理：负责班组内部制定设备保养计划及组织实施，每天不定时检查跟踪设备、设施动态
3、现场5S管理
4、进行生产过程中的质量管理、物料管理以及人员管理。","1、学历要求：全日制大专学历及以上；
2、专业要求：专业不限；
3、能力要求：具备良好的沟通、组织、协调能力、较强的抗压能力。",家电、家居/家具/家电、生产主管、生产班长、班组长、生产领班、生产管理、生产干部、管理储备干部、生产管培生、班长,广东省佛山顺德区容港路八号,"海信容声（广东）冰箱有限公司前身为广东珠江冰箱厂，创立于 1984 年，同年开始用容声牌生产电冰箱，是中国***生产冰箱的企业之一。2001 年，容声冰箱入选首批“中国名牌产品”。
2005年，海信成为公司大股东后，整体实力进一步增强，成为拥有海信、容声两个“中国知名品牌”的冰箱企业，生产的海信冰箱、容声冰箱的市场占有率在国内市场名列前茅。容声牌冰箱更是连续11年获得国内冰箱销量桂冠。
海信容声（广东）冰箱有限公司拥有员工逾 2000 人，四条先进冰箱生产线，设有一流的生产、检测设备，拥有年产大小冰箱逾 300 万台的能力。生产的海信牌、容声牌冰箱以外观靓丽、性能高效、节能环保等优点在广大顾客心中享有很高的知名度和美誉度。产品远销欧美、非洲、东南亚等多个国家和地区，满足国内国际市场各种用户的需求。
海信容声(广东)冰箱有限公司秉承海信集团“高科技、高质量、高水平服务、创国际名牌”的发展战略，坚持贯彻“质量零缺陷”的方针，以贯彻 ISO9000 系列标准为手段，不断完善公司质量管理体系，持续改进和提高产品质量，以“零缺陷”工作质量保“零缺陷”产品质量，逐步实现用户完全满意。
公司目标是在未来 3-5 年产销量要进入国内品牌头部、全球两强的位置。在技术水平、产品档次、市场规模、盈利能力，包括企业持续发展能力在内的综合实力上，成为国内冰箱品牌引领者。
公司位于四季如春，景色怡人的广东省佛山市顺德区，欢迎您的加盟！",https://jobs.51job.com/foshan-sdq/148867924.html?s=gsxq_zwlb_gsxqlb&t=0_0
生产领班,海信容声（广东）冰箱有限公司,佛山-顺德区,8千-1.2万,2年及以上,大专,,生产主管,绩效奖金、五险一金、通讯补贴、定期体检,"1、负责车间的生产管理工作, 努力提高车间生产效率,增产高效,降低消耗,全面完成车间的各项方针目标和各项指标的实现。；
2、负责组织做好新产品试制、日常均衡生产的各项有关工作；
3、负责组织车间班组严格按照SAP系统管理要求,做好生产计划和物料领用的管理工作,实现均衡生产；
4、负责组织制订车间内部生产的各项规章制度,并组织实施；
5、负责组织车间班组贯彻执行生产管理的有关规定及工作标准。","1、学历：大专及以上学历；
2、专业：理工科专业，有车间生产管理经验；
3、工作经验：2年以上的相关工作经验；
4、能力要求：具备良好的沟通能力、具备计划、写作、分析学习能力，熟练运用各种办公软件及掌握公文写作知识。",机械/设备/重工、生产班组长、生产管理、管培生、生产组长、生产领班、生产拉长、储备干部,广东省佛山顺德区容桂容港路8号海信容声冰箱公司,"海信容声（广东）冰箱有限公司前身为广东珠江冰箱厂，创立于 1984 年，同年开始用容声牌生产电冰箱，是中国***生产冰箱的企业之一。2001 年，容声冰箱入选首批“中国名牌产品”。
2005年，海信成为公司大股东后，整体实力进一步增强，成为拥有海信、容声两个“中国知名品牌”的冰箱企业，生产的海信冰箱、容声冰箱的市场占有率在国内市场名列前茅。容声牌冰箱更是连续11年获得国内冰箱销量桂冠。
海信容声（广东）冰箱有限公司拥有员工逾 2000 人，四条先进冰箱生产线，设有一流的生产、检测设备，拥有年产大小冰箱逾 300 万台的能力。生产的海信牌、容声牌冰箱以外观靓丽、性能高效、节能环保等优点在广大顾客心中享有很高的知名度和美誉度。产品远销欧美、非洲、东南亚等多个国家和地区，满足国内国际市场各种用户的需求。
海信容声(广东)冰箱有限公司秉承海信集团“高科技、高质量、高水平服务、创国际名牌”的发展战略，坚持贯彻“质量零缺陷”的方针，以贯彻 ISO9000 系列标准为手段，不断完善公司质量管理体系，持续改进和提高产品质量，以“零缺陷”工作质量保“零缺陷”产品质量，逐步实现用户完全满意。
公司目标是在未来 3-5 年产销量要进入国内品牌头部、全球两强的位置。在技术水平、产品档次、市场规模、盈利能力，包括企业持续发展能力在内的综合实力上，成为国内冰箱品牌引领者。
公司位于四季如春，景色怡人的广东省佛山市顺德区，欢迎您的加盟！",https://jobs.51job.com/foshan-sdq/137102414.html?s=gsxq_zwlb_gsxqlb&t=0_0
精益工程师,海信容声（广东）冰箱有限公司,佛山-顺德区,1.2-1.8万·13薪,3年及以上,本科,,精装修工程师,,"1、依据管理标准、操作流程展开仓储物流工作，通过运行不断修订及完善；
2、统筹策划并开展物流优化等提效项目，使仓储整体工作效率得到提升；
3、开展现场5S管理，对物资室管辖区域符合现场5S要求；
4、通过对仓库日常工作的指导、监督、检查、考核，为生产现场提供合格物料，确保生产顺利进行；
5、通过系统策划，严密组织，稳步推进，落实资材部物资管理的各项工作，使物资管理工作效率和工作质量得以显著提高；","1、学历要求：本科及以上学历；
2、专业要求：物流管理相关专业、生产管理相关专业、物流专业、企业管理类优先；
3、工作经验：从事仓储管理、物流管理3年以上经验优先；
4、知识要求：熟悉5S、QC七工具、生产管理、物流管理、物料管理以及会计知识等仓储管理、管理心理学、ERP的运用；
5、能力要求：有一定的领导、决策、管理技能，具备谈判艺术与技巧。",家居/家具/家电、货运/物流/仓储,广东省佛山顺德区容港路八号,"海信容声（广东）冰箱有限公司前身为广东珠江冰箱厂，创立于 1984 年，同年开始用容声牌生产电冰箱，是中国***生产冰箱的企业之一。2001 年，容声冰箱入选首批“中国名牌产品”。
2005年，海信成为公司大股东后，整体实力进一步增强，成为拥有海信、容声两个“中国知名品牌”的冰箱企业，生产的海信冰箱、容声冰箱的市场占有率在国内市场名列前茅。容声牌冰箱更是连续11年获得国内冰箱销量桂冠。
海信容声（广东）冰箱有限公司拥有员工逾 2000 人，四条先进冰箱生产线，设有一流的生产、检测设备，拥有年产大小冰箱逾 300 万台的能力。生产的海信牌、容声牌冰箱以外观靓丽、性能高效、节能环保等优点在广大顾客心中享有很高的知名度和美誉度。产品远销欧美、非洲、东南亚等多个国家和地区，满足国内国际市场各种用户的需求。
海信容声(广东)冰箱有限公司秉承海信集团“高科技、高质量、高水平服务、创国际名牌”的发展战略，坚持贯彻“质量零缺陷”的方针，以贯彻 ISO9000 系列标准为手段，不断完善公司质量管理体系，持续改进和提高产品质量，以“零缺陷”工作质量保“零缺陷”产品质量，逐步实现用户完全满意。
公司目标是在未来 3-5 年产销量要进入国内品牌头部、全球两强的位置。在技术水平、产品档次、市场规模、盈利能力，包括企业持续发展能力在内的综合实力上，成为国内冰箱品牌引领者。
公司位于四季如春，景色怡人的广东省佛山市顺德区，欢迎您的加盟！",https://jobs.51job.com/foshan-sdq/173007787.html?s=gsxq_zwlb_gsxqlb&t=0_0
精益物流工程师,海信容声（广东）冰箱有限公司,佛山-顺德区,1.2-1.8万·13薪,3年及以上,本科,,物流专员/助理,五险一金、年终奖金、带薪年假、定期体检、节日福利,"1、依据管理标准、操作流程展开仓储物流工作，通过运行不断修订及完善；
2、统筹策划并开展物流优化等提效项目，使仓储整体工作效率得到提升；
3、开展现场5S管理，对物资室管辖区域符合现场5S要求；
4、通过对仓库日常工作的指导、监督、检查、考核，为生产现场提供合格物料，确保生产顺利进行；
5、通过系统策划，严密组织，稳步推进，落实资材部物资管理的各项工作，使物资管理工作效率和工作质量得以显著提高；","1、学历要求：本科及以上学历；
2、专业要求：物流管理相关专业、生产管理相关专业、物流专业、企业管理类优先；
3、工作经验：从事仓储管理、物流管理3年以上经验优先；
4、知识要求：熟悉5S、QC七工具、生产管理、物流管理、物料管理以及会计知识等仓储管理、管理心理学、ERP的运用；
5、能力要求：有一定的领导、决策、管理技能，具备谈判艺术与技巧。",物料管理、仓储管理、物资管理、仓储物流、物流优化,广东省佛山顺德区容港路八号,"海信容声（广东）冰箱有限公司前身为广东珠江冰箱厂，创立于 1984 年，同年开始用容声牌生产电冰箱，是中国***生产冰箱的企业之一。2001 年，容声冰箱入选首批“中国名牌产品”。
2005年，海信成为公司大股东后，整体实力进一步增强，成为拥有海信、容声两个“中国知名品牌”的冰箱企业，生产的海信冰箱、容声冰箱的市场占有率在国内市场名列前茅。容声牌冰箱更是连续11年获得国内冰箱销量桂冠。
海信容声（广东）冰箱有限公司拥有员工逾 2000 人，四条先进冰箱生产线，设有一流的生产、检测设备，拥有年产大小冰箱逾 300 万台的能力。生产的海信牌、容声牌冰箱以外观靓丽、性能高效、节能环保等优点在广大顾客心中享有很高的知名度和美誉度。产品远销欧美、非洲、东南亚等多个国家和地区，满足国内国际市场各种用户的需求。
海信容声(广东)冰箱有限公司秉承海信集团“高科技、高质量、高水平服务、创国际名牌”的发展战略，坚持贯彻“质量零缺陷”的方针，以贯彻 ISO9000 系列标准为手段，不断完善公司质量管理体系，持续改进和提高产品质量，以“零缺陷”工作质量保“零缺陷”产品质量，逐步实现用户完全满意。
公司目标是在未来 3-5 年产销量要进入国内品牌头部、全球两强的位置。在技术水平、产品档次、市场规模、盈利能力，包括企业持续发展能力在内的综合实力上，成为国内冰箱品牌引领者。
公司位于四季如春，景色怡人的广东省佛山市顺德区，欢迎您的加盟！",https://jobs.51job.com/foshan-sdq/172680125.html?s=gsxq_zwlb_gsxqlb&t=0_0
